Date, Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%)
10/10/2024,13:50:55,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.7,N2,Setpoint,80.0,N2,Setpoint,80.0,79.1,Air,Air,205.8,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.47
10/10/2024,13:51:05,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.6,N2,Setpoint,80.0,N2,Setpoint,80.0,82.5,Air,Air,205.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.47
10/10/2024,13:51:15,0.0,47.2,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.8,N2,Setpoint,80.0,N2,Setpoint,80.0,79.5,Air,Air,205.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.50
10/10/2024,13:51:25,0.0,47.2,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.6,N2,Setpoint,80.0,N2,Setpoint,80.0,77.5,Air,Air,205.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.51
10/10/2024,13:51:35,0.0,47.2,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.5,N2,Setpoint,80.0,N2,Setpoint,80.0,81.9,Air,Air,205.5,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.52
10/10/2024,13:51:45,0.0,47.3,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.5,N2,Setpoint,80.0,N2,Setpoint,80.0,80.3,Air,Air,205.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.53
10/10/2024,13:51:55,0.0,47.2,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.8,N2,Setpoint,80.0,N2,Setpoint,80.0,78.9,Air,Air,205.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.55
10/10/2024,13:52:05,0.0,47.1,42.8,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,6.0,N2,Setpoint,80.0,N2,Setpoint,80.0,79.4,Air,Air,205.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.57
10/10/2024,13:52:15,0.0,47.2,42.8,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.7,N2,Setpoint,80.0,N2,Setpoint,80.0,81.2,Air,Air,205.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.58
10/10/2024,13:52:25,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.6,N2,Setpoint,80.0,N2,Setpoint,80.0,81.8,Air,Air,205.7,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.59
10/10/2024,13:52:35,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.7,N2,Setpoint,80.0,N2,Setpoint,80.0,79.4,Air,Air,205.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.60
10/10/2024,13:52:45,0.0,47.2,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.8,N2,Setpoint,80.0,N2,Setpoint,80.0,78.4,Air,Air,205.6,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.61
10/10/2024,13:52:55,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.6,N2,Setpoint,80.0,N2,Setpoint,80.0,78.6,Air,Air,205.6,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.62
10/10/2024,13:53:05,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.6,N2,Setpoint,80.0,N2,Setpoint,80.0,81.6,Air,Air,205.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.63
10/10/2024,13:53:15,0.0,47.2,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.6,N2,Setpoint,80.0,N2,Setpoint,80.0,78.7,Air,Air,205.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.64
10/10/2024,13:53:25,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.9,N2,Setpoint,80.0,N2,Setpoint,80.0,77.7,Air,Air,205.5,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.65
10/10/2024,13:53:35,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.3,N2,Setpoint,80.0,N2,Setpoint,80.0,78.2,Air,Air,205.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.66
10/10/2024,13:53:45,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.6,N2,Setpoint,80.0,N2,Setpoint,80.0,79.4,Air,Air,205.6,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.67
10/10/2024,13:53:55,0.0,47.2,42.8,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.9,N2,Setpoint,80.0,N2,Setpoint,80.0,77.3,Air,Air,205.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.68
10/10/2024,13:54:05,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.5,N2,Setpoint,80.0,N2,Setpoint,80.0,79.9,Air,Air,205.5,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.69
10/10/2024,13:54:15,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.8,N2,Setpoint,80.0,N2,Setpoint,80.0,78.0,Air,Air,205.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.69
10/10/2024,13:54:25,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.6,N2,Setpoint,80.0,N2,Setpoint,80.0,79.6,Air,Air,205.2,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.71
10/10/2024,13:54:35,0.0,47.1,42.6,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.5,N2,Setpoint,80.0,N2,Setpoint,80.0,82.4,Air,Air,205.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.72
10/10/2024,13:54:45,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.9,N2,Setpoint,80.0,N2,Setpoint,80.0,78.4,Air,Air,205.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.71
10/10/2024,13:54:55,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.6,N2,Setpoint,80.0,N2,Setpoint,80.0,81.2,Air,Air,205.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.72
10/10/2024,13:55:05,0.0,47.1,42.8,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.7,N2,Setpoint,80.0,N2,Setpoint,80.0,78.3,Air,Air,205.2,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.73
10/10/2024,13:55:15,0.0,47.1,42.6,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.9,N2,Setpoint,80.0,N2,Setpoint,80.0,79.4,Air,Air,205.1,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.73
10/10/2024,13:55:25,0.0,47.1,42.6,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.5,N2,Setpoint,80.0,N2,Setpoint,80.0,80.9,Air,Air,205.0,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.74
10/10/2024,13:55:35,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.7,N2,Setpoint,80.0,N2,Setpoint,80.0,78.3,Air,Air,205.4,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.75
10/10/2024,13:55:45,0.0,47.1,42.8,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.7,N2,Setpoint,80.0,N2,Setpoint,80.0,78.9,Air,Air,205.2,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.75
10/10/2024,13:55:55,0.0,47.1,42.8,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.8,N2,Setpoint,80.0,N2,Setpoint,80.0,78.5,Air,Air,205.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.75
10/10/2024,13:56:05,0.0,47.0,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.7,N2,Setpoint,80.0,N2,Setpoint,80.0,82.3,Air,Air,205.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.76
10/10/2024,13:56:15,0.0,47.1,42.8,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.8,N2,Setpoint,80.0,N2,Setpoint,80.0,80.1,Air,Air,205.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.76
10/10/2024,13:56:25,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.7,N2,Setpoint,80.0,N2,Setpoint,80.0,78.9,Air,Air,205.2,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.77
10/10/2024,13:56:35,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.7,N2,Setpoint,80.0,N2,Setpoint,80.0,78.9,Air,Air,205.1,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.77
10/10/2024,13:56:45,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.7,N2,Setpoint,80.0,N2,Setpoint,80.0,82.4,Air,Air,205.3,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.77
10/10/2024,13:56:55,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.9,N2,Setpoint,80.0,N2,Setpoint,80.0,78.8,Air,Air,205.1,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.78
10/10/2024,13:57:05,0.0,47.1,42.7,No Reading,Off,Off,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,No Reading,N2,Setpoint,50.0,N2,Setpoint,50.0,50.0,N2,Setpoint,30.0,N2,Setpoint,30.0,30.0,O2,Setpoint,40.0,O2,Setpoint,40.0,40.0,0.37,Closed,0.0,0.4,Closed,0.0,5.6,N2,Setpoint,80.0,N2,Setpoint,80.0,81.5,Air,Air,205.0,Closed,0.0,Closed,0.0,0.0,0,No Picarro,No Picarro,1000ppm or 5%,1000ppm or 5%,Bubbler,Bubbler,34.78
